pokemon,pokemonInTeam,move,name,hp,attack,specialattack,defense,specialdef,speed,description,type1,type2,move1,move2,move3,move4,nickname
Y,.,.,Charizard,78,84,109,78,85,100,"""Charizard, the Flame Pokémon. Charizard's powerful flame can melt absolutely anything.""",Fire,Flying,.,.,.,.,.
Y,.,.,Pikachu,35,55,50,40,50,90,"""When several of these POKéMON gather, their electricity could build and cause lightning storms.""",Electric,.,.,.,.,.,.
Y,.,.,Gengar,60,65,130,60,75,110,"""Lurking in the shadowy corners of rooms, it awaits chances to steal its prey’s life-force.""",Ghost,Poison,.,.,.,.,.
Y,.,.,Mew,100,100,100,100,100,100,"""Because it can use all kinds of moves, many scientists believe Mew to be the ancestor of Pokémon.""",Psychic,.,.,.,.,.,.
Y,.,.,Arcanine,90,110,100,80,80,95,"""Its proud and regal appearance has captured the hearts of people since long ago.""",Fire,.,.,.,.,.,.
Y,.,.,Alakazam,55,40,135,45,95,120,"""It has an IQ of 5000. It calculates many things in order to gain the edge in every battle.""",Psychic,.,.,.,.,.,.
Y,.,.,Rapidash,65,100,80,70,80,105,"""Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.""",Fire,.,.,.,.,.,.
Y,.,.,Electrode,60,50,80,70,80,150,"""It explodes in response to even minor stimuli. It is feared, with the nickname of “The Bomb Ball.""",Electric,.,.,.,.,.,.
Y,.,.,Snorlax,160,110,65,65,110,30,"""What sounds like its cry may actually be its snores or the rumblings of its hungry belly.""",Normal,.,.,.,.,.,.
Y,.,.,Zapdos,90,90,125,85,90,100,"""A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.""",Electric,Flying,.,.,.,.,.
Y,.,.,Dragonite,91,134,100,95,100,80,"""It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.""",Dragon,.,.,.,.,.,.
Y,.,.,Eevee,55,55,45,50,65,55,"""Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions.""",Normal,.,.,.,.,.,.
